04/27/11 - 16:47:43; Successful Startup
04/28/11 - 05:53:57; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:53:58; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:11; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:12; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:13; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:15; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:16; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:17; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:18; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:19; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:20; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:21; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:22; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:23; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:24; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:25; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:26; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:27; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:28; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:29; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:30; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:31; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:32; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:33; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:34; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:35; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:36; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:37; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:38; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:39; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:40; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:41; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:42; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:43; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:44; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:45; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:46; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:47; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:48; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:49; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:50; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:51; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:52; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:53; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:54; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:55; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:56; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:57; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:58; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:54:59; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:00; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:01; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:02; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:03; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:04; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:05; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:06; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:07; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:08; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:09; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:10; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:11; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:12; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:13; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:14; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:16; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:17; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:18; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:19; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:20; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:21; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:22; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:23; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:24; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:25; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:26; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:27; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:28; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:29; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:30; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:31; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:32; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:33; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:34; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:35; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:36; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:37; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:38; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:39; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:40; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:41; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:42; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:43; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:44; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:45; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:46; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:48; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:49; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:50; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:51; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:53; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:54; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:55; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:56; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:57; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:58; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:55:59; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:00; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:01; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:02; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:03; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:04; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:05; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:06; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:07; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:08; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:11; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:12; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:13; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:14; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:15; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:16; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:17; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:18; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:19; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:20; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:21; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:22; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:24; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:25; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:26; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:27; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:28; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:29; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:30; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:31; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:32; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:33; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:34; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:35; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:36; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:37; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:38; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:39; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:40; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:41; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:42; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:43; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:44; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:45; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:46; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:47; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:48; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:49; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:50; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:51; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:52; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:53; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:54; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:55; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:56; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:57; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:58; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:56:59; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:57:00; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:57:01; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:57:02; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:57:03; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:57:04; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:57:05; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:57:06; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:57:07; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
